LCP,json_inside_zip,min_talent_rank,Parent_ID,Name,Trigger,Frequency,Detail
dustgrave-data-1.3.1.lcp,pilot_gear.json,,ms_madrigal_personal_shield,Shielded,You take damage.,1/round,You may expend a charge to gain Resistance to that damage.
dustgrave-data-1.3.1.lcp,reserves.json,,reserve_automated_reflex_suite,Automated Reflex Suite,You are hit by an attack.,1/mission,The attack automatically misses.
dustgrave-data-1.3.1.lcp,talents.json,,t_field_analyst,Superior Intelligence,An allied character in Line of Sight has rolled an Attack Roll.,2/round,You may add 1 to the attack roll. This may cause an attack to hit or to critically hit. Each attack roll can only be affected this way once.
dustgrave-data-1.3.1.lcp,talents.json,,t_prospector,Subterranean Reposition,"During your turn, you are completely within an Entrance.",1/round,"You immediately Tunnel, ending the movement completely within a different Entrance created by the same character as the first."
ktb-data-1.2.3.lcp,systems.json,,ms_camuss_razor,Intervention,An allied character within Range 5 and line of sight is targeted by an action that deals kinetic or explosive damage.,1/round,"You become the target of the action instead. If the action was an area of effect, such as a line, cone, blast, etc, the attacker must now position it so it targets you, or as close as possible, which could change its targets. This transfer takes place even if the original could not have hit you (i.e., it was a melee attack)."
lancer-data-master.lcp,core_bonuses.json,,cb_the_lesson_of_the_held_image,Lesson of the Held Image,Any allied character starts their turn,1/round,Make a Lock On tech action against any character within line of sight and Sensors.
lancer-data-master.lcp,frames.json,,mf_black_witch,Mag Parry,An incoming attack will deal Kinetic Damage to you or an adjacent allied character,1/round,"Roll 1d6: on 5+, the attack misses. This effect does not stack with Invisible."
lancer-data-master.lcp,frames.json,,mf_goblin,Reactive Code,You are hit by a Tech Attack.,1/round,You may take any Quick Tech option against the attacker as a reaction.
lancer-data-master.lcp,frames.json,,mf_hydra,Snare Drone,A character starts their turn adjacent to this drone or moves adjacent to it for the first time in a round,1/round,"Target must make an AGILITY save. On a failure, they become IMMOBILIZED. They only cease to be IMMOBILIZED when the drone is destroyed or no longer adjacent, or they succeed on an AGILITY save as a quick action."
lancer-data-master.lcp,frames.json,,mf_hydra,Shredder Drone,A character starts their turn adjacent to this drone or moves adjacent to it for the first time in a round,1/round,"Target must make a HULL save. On a failure, they take  kinetic damage and become SHREDDED until the end of their next turn."
lancer-data-master.lcp,frames.json,,mf_hydra,Hunter Drone,A character starts their turn adjacent to this drone or moves adjacent to it for the first time in a round,1/round,"Target must make a SYSTEMS save. On a failure, they receive LOCK ON."
lancer-data-master.lcp,frames.json,,mf_saladin,Warp Shield,You or an allied character in Sensors and line of sight is targetted with an attack.,1/round,Apply +1 Difficulty to the Attack
lancer-data-master.lcp,frames.json,,mf_saladin,Defensive Pulse,Your target is attacked.,1/round,"You empower their tachyon shield with a pulse of energy. They gain Resistance to all damage from the attack, and if the attack misses, you may force the attacker to reroll it against a character or object of your choice, checking line of sight and Range from your target instead of from the attacker. If the attack was part of an area of effect, the new target must be inside the same area of effect from the original attack instead."
lancer-data-master.lcp,frames.json,,mf_swallowtail,Tactical Simulation (Core System),An allied character in line of sight takes damage from another character in line of sight.,1/round,"Effect: Roll 1d6. On 4+, the attack was actually a simulation predicted by your processor - your ally gains Resistance to all damage dealt by the attack and may teleport up to 3 spaces, representing their ""true"" location. On 3 or less, there's a glitch, your allied doesn't gain Resistance, but can teleport up to 6 spaces."
lancer-data-master.lcp,frames.json,,mf_tortuga,Hyper-Reflex Mode (Core System),A hostile character starts any movement (including BOOST and other actions) inside one of your weapons THREAT.,1/round,"Trigger OVERWATCH, immediately using that weapon to SKIRMISH against that character as a reaction, before they move."
lancer-data-master.lcp,systems.json,,ms_aegis_shield_generator,Aegis Shield Generator,"While the shield is deployed,  any character or object of your choice at least partly in the area takes damage",Unlimited (as long as you have Shield Die remaining),You may roll one of the d6s to reduce the damage by the amount rolled.
lancer-data-master.lcp,systems.json,,ms_assassin_drone,Area Denial,A hostile character starts movement in or enters the area targeted by your assassin drone.,Unlimited,"You can make a ranged attack against them with the drone, gaining your Grit as a bonus to its roll, and dealing 3 Kinetic Damage."
lancer-data-master.lcp,systems.json,,ms_enclave_pattern_support_shield,Blinkfield Intervention,A character or object within the affected area is attacked.,1/round,"Take two Heat, then grant the attack's target Resistance to all damage from this attack."
lancer-data-master.lcp,systems.json,,ms_flash_anchor,Flash Lock,"You or an allied character in Sensors and line of sight is pushed, pulled, knocked back or knocked Prone.",1/round,"Take 2 Heat. The movement or status is prevented, and the target gains Immunity to all the above effects until the start of their next turn."
lancer-data-master.lcp,systems.json,,ms_markerlight,Markerlight,"Once before the start of your next turn, when an allied character hits your targe.",1/round,"You may declare as a reaction that they have hit a weak spot. If it wasn’t already, the attack becomes a critical hit."
lancer-data-master.lcp,systems.json,,ms_mimic_mesh,Battlefield Awareness,A hostile action is taken against your target.,Unlimited,"You may move 3 spaces towards your target, by the most direct route possible. This movement interrupts and resolves before the triggering action, ignores engagement and doesn't provoke reactions. This reaction can be taken as many times per round as it is triggered."
lancer-data-master.lcp,systems.json,,ms_monitor_module,Monitor Module,Whenever your target is attacked while adjacent to you,Unlimited,"Expend a CHARGE to SKIRMISH against their attacker as a reaction, dealing half damage, heat or, burn on hit. All charges are lost when this effect ends."
lancer-data-master.lcp,systems.json,,ms_noah_class_nhp,Diluvian Ark,"While active, each time you or an allied adjacent character are targeted by a ranged attack",Unlimited,"you may take 1 heat as a reaction and roll 1d6 before the attacker rolls: on 4+, you take an additional 1 heat and the attack automatically misses you and any allies adjacent toyou. This effect does not stack with INVISIBLE"
lancer-data-master.lcp,systems.json,,ms_scylla_class_nhp,Unleash SCYLLA,"One of the following, chosen when the Unleash SCYLLA action is taken: A hostile character makes an attack against you or an allied character within range 3 of you. A hostile character attempts to attack or interact with an object chosen when you take Unleash Scylla and within line of sight. Characters are aware of the object chosen.",2/round,"Skirmish against the character that triggered the reaction. This skirmish deals half damage, heat or burn on hit."
lancer-data-master.lcp,systems.json,,ms_singularity_motivator,Exposed Singularity,Your mech takes damage.,1/round,You may immediately teleport to a free space within 1d6 spaces.
lancer-data-master.lcp,systems.json,,ms_sisyphus_class_nhp,Probabilistic Cannibalism,You or any other character within Sensors would roll a d20,2/round,Choose X or Y. That number immediately becomes the result of the roll.<br>This reaction can be used no more than two times before the start of your next turn.
